table,subset,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp,V_cathode_SHE_V,V_cell_obs_V,V_cell_pred_V,V_cell_resid_V,delta_lev_um,kappa_eff_S_per_m,R_series_Ohm_m2,converged,note
Table_S5,Core,0.50,2,85,0.1600,60.70,66.86,6.16,2.00,10.44,8.44,-2.0429,2.9709,3.8483,0.8775,145.81,14.720,1.2406e-04,true,
Table_S5,Core,0.50,2,101,0.0800,71.50,64.93,-6.57,3.00,9.27,6.27,-2.0680,3.3225,3.8902,0.5677,145.81,16.872,1.2099e-04,true,
Table_S5,Core,0.50,2,116,0.2400,60.90,69.88,8.98,2.20,9.02,6.82,-2.0635,3.3807,3.9119,0.5313,145.81,12.668,1.2796e-04,true,
Table_S5,Core,0.50,2,131,0.0400,70.60,41.41,-29.19,10.50,6.16,-4.34,-2.1492,3.5636,4.0060,0.4424,145.81,17.985,1.1969e-04,true,
Table_S5,Core,0.50,2,147,0.2000,65.30,70.67,5.37,2.80,7.94,5.14,-2.0848,3.5315,3.9698,0.4384,145.81,13.681,1.2589e-04,true,
Table_S5,Core,0.50,2,162,0.1200,69.70,69.61,-0.09,3.70,7.43,3.73,-2.0988,3.7362,3.9972,0.2610,145.81,15.784,1.2244e-04,true,
Table_S5,Core,0.50,2,177,0.2800,67.70,71.93,4.23,2.40,7.23,4.83,-2.0988,3.8195,4.0295,0.2100,145.81,11.681,1.3032e-04,true,
Table_S5,Excluded,0.50,2,193,0.0200,0.00,17.02,17.02,9.40,3.11,-6.29,-2.2174,NaN,4.1472,NaN,145.81,18.550,1.1909e-04,true,
Table_S5,Extended-only,0.50,2,208,0.1800,70.40,69.80,-0.60,4.30,6.47,2.17,-2.1238,4.0628,4.0837,0.0209,145.81,14.198,1.2495e-04,true,
Table_S5,Extended-only,0.50,2,223,0.1000,75.50,66.86,-8.64,8.30,6.04,-2.26,-2.1402,4.0550,4.1116,0.0567,145.81,16.325,1.2170e-04,true,
Table_S5,Extended-only,0.50,2,239,0.2600,74.30,70.46,-3.84,4.40,6.02,1.62,-2.1358,4.1958,4.1443,-0.0514,145.81,12.171,1.2910e-04,true,
Table_S5,Extended-only,0.50,2,254,0.0600,70.60,43.67,-26.93,13.10,4.38,-8.72,-2.2051,4.1809,4.2107,0.0298,145.81,17.426,1.2033e-04,true,
Table_S5,Extended-only,0.50,2,269,0.2200,75.00,67.87,-7.13,6.20,5.49,-0.71,-2.1559,4.3055,4.1972,-0.1083,145.81,13.172,1.2689e-04,true,
Table_S5,Extended-only,0.50,2,285,0.1400,73.00,63.65,-9.35,9.20,5.10,-4.10,-2.1735,4.3217,4.2246,-0.0970,145.81,15.249,1.2323e-04,true,
Table_S5,Excluded,0.50,2,290,0.0200,0.40,12.74,12.34,5.00,2.13,-2.87,-2.2576,7.5862,4.3030,-3.2832,145.81,18.550,1.1909e-04,true,
Table_S5,Extended-only,0.50,2,290,0.2900,73.10,68.71,-4.39,4.50,5.30,0.80,-2.1610,4.3739,4.2407,-0.1332,145.81,11.439,1.3096e-04,true,
Table_S6,Excluded,0.50,6,85,0.0200,51.10,27.27,-23.83,17.30,6.28,-11.02,-2.1315,3.3397,3.9347,0.5951,101.10,18.550,1.2150e-04,true,
Table_S6,Core,0.50,6,80,0.2900,60.40,67.93,7.53,5.50,10.93,5.43,-2.0314,3.3198,3.8393,0.5195,101.10,11.439,1.3487e-04,true,
Table_S6,Core,0.50,6,85,0.1600,61.00,68.24,7.24,9.50,10.58,1.08,-2.0365,3.4882,3.8446,0.3564,101.10,14.720,1.2710e-04,true,
Table_S6,Core,0.50,6,101,0.0800,65.10,67.56,2.46,10.50,9.53,-0.97,-2.0574,3.3783,3.8823,0.5040,101.10,16.872,1.2364e-04,true,
Table_S6,Core,0.50,6,116,0.2400,58.80,71.65,12.85,7.60,9.18,1.58,-2.0548,3.7250,3.9073,0.1823,101.10,12.668,1.3149e-04,true,
Table_S6,Core,0.50,6,131,0.0400,65.80,48.77,-17.03,8.60,6.75,-1.85,-2.1348,3.5948,3.9948,0.4001,101.10,17.985,1.2218e-04,true,
Table_S6,Core,0.50,6,147,0.2000,58.40,73.29,14.89,8.50,8.15,-0.35,-2.0723,3.8549,3.9621,0.1073,101.10,13.681,1.2916e-04,true,
Table_S6,Core,0.50,6,162,0.1200,63.10,73.19,10.09,9.90,7.71,-2.19,-2.0826,4.0764,3.9856,-0.0908,101.10,15.784,1.2527e-04,true,
Table_S6,Core,0.50,6,177,0.2800,62.00,74.90,12.90,4.60,7.46,2.86,-2.0840,4.2277,4.0214,-0.2062,101.10,11.681,1.3415e-04,true,
Table_S6,Excluded,0.50,6,193,0.0200,22.50,22.79,0.29,14.00,3.61,-10.39,-2.2098,4.2931,4.1443,-0.1488,101.10,18.550,1.2150e-04,true,
Table_S6,Extended-only,0.50,6,208,0.1800,60.90,74.60,13.70,10.50,6.78,-3.72,-2.1020,4.5455,4.0684,-0.4770,101.10,14.198,1.2810e-04,true,
Table_S6,Extended-only,0.50,6,223,0.1000,65.00,73.46,8.46,10.20,6.44,-3.76,-2.1141,4.4843,4.0916,-0.3927,101.10,16.325,1.2443e-04,true,
Table_S6,Extended-only,0.50,6,239,0.2600,66.30,75.66,9.36,5.20,6.33,1.13,-2.1113,4.7145,4.1287,-0.5858,101.10,12.171,1.3277e-04,true,
Table_S6,Extended-only,0.50,6,254,0.0600,62.10,55.90,-6.20,10.10,5.03,-5.07,-2.1805,4.5980,4.1926,-0.4053,101.10,17.426,1.2289e-04,true,
Table_S6,Extended-only,0.50,6,269,0.2200,65.30,74.98,9.68,5.90,5.88,-0.02,-2.1274,4.3662,4.1778,-0.1883,101.10,13.172,1.3029e-04,true,
Table_S6,Extended-only,0.50,6,285,0.1400,69.20,73.08,3.88,5.90,5.58,-0.32,-2.1406,4.5129,4.2002,-0.3127,101.10,15.249,1.2616e-04,true,
Table_S6,Excluded,0.50,6,290,0.0200,0.00,17.74,17.74,5.50,2.53,-2.97,-2.2512,NaN,4.3036,NaN,101.10,18.550,1.2150e-04,true,
Table_S6,Extended-only,0.50,6,290,0.2900,63.40,75.80,12.40,7.70,5.68,-2.02,-2.1319,4.4455,4.2230,-0.2225,101.10,11.439,1.3487e-04,true,
Table_S7,Excluded,0.50,10,85,0.0200,46.40,28.98,-17.42,20.80,6.48,-14.32,-2.1289,3.0459,3.9329,0.8870,85.27,18.550,1.2236e-04,true,
Table_S7,Core,0.50,10,80,0.2900,68.10,68.30,0.20,3.40,10.97,7.57,-2.0296,3.0830,3.8386,0.7556,85.27,11.439,1.3626e-04,true,
Table_S7,Core,0.50,10,85,0.1600,65.50,68.67,3.17,11.70,10.64,-1.06,-2.0342,2.9546,3.8431,0.8885,85.27,14.720,1.2817e-04,true,
Table_S7,Core,0.50,10,101,0.0800,74.70,68.40,-6.30,10.70,9.61,-1.09,-2.0537,3.0559,3.8796,0.8237,85.27,16.872,1.2458e-04,true,
Table_S7,Core,0.50,10,116,0.2400,58.60,72.21,13.61,14.10,9.23,-4.87,-2.0518,3.3525,3.9057,0.5533,85.27,12.668,1.3274e-04,true,
Table_S7,Core,0.50,10,131,0.0400,53.60,51.53,-2.07,18.20,6.96,-11.24,-2.1287,3.2582,3.9899,0.7317,85.27,17.985,1.2306e-04,true,
Table_S7,Core,0.50,10,147,0.2000,47.30,74.08,26.78,18.90,8.22,-10.68,-2.0679,3.4632,3.9594,0.4962,85.27,13.681,1.3031e-04,true,
Table_S7,Core,0.50,10,162,0.1200,56.60,74.26,17.66,15.60,7.79,-7.81,-2.0772,3.5757,3.9817,0.4060,85.27,15.784,1.2628e-04,true,
Table_S7,Core,0.50,10,177,0.2800,61.60,75.80,14.20,1.90,7.52,5.62,-2.0791,3.6237,4.0190,0.3952,85.27,11.681,1.3550e-04,true,
Table_S7,Excluded,0.50,10,193,0.0200,2.80,25.76,22.96,6.70,3.85,-2.85,-2.2057,3.7997,4.1418,0.3422,85.27,18.550,1.2236e-04,true,
Table_S7,Extended-only,0.50,10,208,0.1800,48.90,75.97,27.07,17.70,6.87,-10.83,-2.0949,3.8831,4.0637,0.1806,85.27,14.198,1.2921e-04,true,
Table_S7,Extended-only,0.50,10,223,0.1000,50.40,75.31,24.91,17.70,6.56,-11.14,-2.1053,3.9068,4.0849,0.1782,85.27,16.325,1.2540e-04,true,
Table_S7,Extended-only,0.50,10,239,0.2600,65.80,77.11,11.31,3.50,6.42,2.92,-2.1035,3.9849,4.1240,0.1391,85.27,12.171,1.3407e-04,true,
Table_S7,Extended-only,0.50,10,254,0.0600,47.10,60.84,13.74,18.90,5.29,-13.61,-2.1682,3.9701,4.1826,0.2125,85.27,17.426,1.2380e-04,true,
