table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,Q_aq_mL_min,Q_org_mL_min,We_aq,We_org,FE_ADN_pct,FE_TCH_pct,FE_PN_pct,PR_ADN_kg_cm2_h,EP_ADN_kg_kWh
Table_S7,0.5,10,131,0.04,9.6,0.4,3.0E-01,4.3E-04,53.6,12.5,18.2,1.4E-04,0.328
Table_S7,0.5,10,147,0.20,8.0,2.0,2.1E-01,1.1E-02,47.3,10.6,18.9,1.4E-04,0.275
Table_S7,0.5,10,162,0.12,8.8,1.2,2.6E-01,3.9E-03,56.6,11.6,15.6,1.9E-04,0.328
Table_S7,0.5,10,177,0.28,7.2,2.8,1.7E-01,2.1E-02,61.6,14.7,1.9,2.2E-04,0.343
Table_S7,0.5,10,193,0.02,9.8,0.2,3.2E-01,1.1E-04,2.8,0.0,6.7,1.1E-05,0.015
Table_S7,0.5,10,208,0.18,8.2,1.8,2.2E-01,8.7E-03,48.9,10.9,17.7,2.1E-04,0.260
Table_S7,0.5,10,223,0.10,9.0,1.0,2.7E-01,2.7E-03,50.4,10.7,17.7,2.3E-04,0.264
Table_S7,0.5,10,239,0.26,7.4,2.6,1.8E-01,1.8E-02,65.8,14.1,3.5,3.2E-04,0.336
Table_S7,0.5,10,254,0.06,9.4,0.6,2.9E-01,9.6E-04,47.1,10.8,18.9,2.4E-04,0.238
Table_S7,0.5,10,269,0.22,7.8,2.2,2.0E-01,1.3E-02,49.9,10.8,15.9,2.7E-04,0.240
Table_S7,0.5,10,285,0.14,8.6,1.4,2.4E-01,5.3E-03,49.4,10.1,18.8,2.8E-04,0.236
Table_S7,0.5,10,290,0.02,9.8,0.2,3.2E-01,1.1E-04,1.3,0.0,1.6,7.4E-06,0.006
Table_S7,0.5,10,290,0.29,7.1,2.9,1.7E-01,2.3E-02,63.8,12.8,6.2,3.7E-04,0.299
Table_S8,1.0,2,85,0.02,1.96,0.04,6.4E-03,2.1E-06,26.1,1.6,39.5,4.5E-05,0.148
Table_S8,1.0,2,80,0.29,1.42,0.58,3.3E-03,4.5E-04,61.5,13.0,2.2,9.9E-05,0.356
Table_S8,1.0,2,85,0.16,1.68,0.32,4.7E-03,1.4E-04,70.5,15.1,2.6,1.2E-04,0.395
Table_S8,1.0,2,101,0.08,1.84,0.16,5.6E-03,3.4E-05,74.6,16.7,3.3,1.5E-04,0.406
Table_S8,1.0,2,116,0.24,1.52,0.48,3.8E-03,3.1E-04,66.5,14.2,2.9,1.6E-04,0.337
Table_S8,1.0,2,131,0.04,1.92,0.08,6.1E-03,8.6E-06,67.4,7.4,13.2,1.8E-04,0.335
Table_S8,1.0,2,147,0.20,1.60,0.40,4.2E-03,2.1E-04,70.7,13.3,3.5,2.1E-04,0.330
Table_S8,1.0,2,162,0.12,1.76,0.24,5.1E-03,7.7E-05,69.4,13.4,7.4,2.3E-04,0.323
Table_S8,1.0,2,177,0.28,1.44,0.56,3.4E-03,4.2E-04,69.8,11.4,5.1,2.5E-04,0.297
Table_S8,1.0,2,193,0.02,1.96,0.04,6.4E-03,2.1E-06,20.3,1.1,33.0,7.9E-05,0.085
Table_S8,1.0,2,208,0.18,1.64,0.36,4.4E-03,1.7E-04,71.4,11.5,6.9,3.0E-04,0.308
Table_S8,1.0,2,223,0.10,1.80,0.20,5.4E-03,5.4E-05,74.4,10.4,8.0,3.4E-04,0.315
Table_S8,1.0,2,239,0.26,1.48,0.52,3.6E-03,3.6E-04,74.2,9.5,6.5,3.6E-04,0.327
Table_S8,1.0,2,254,0.06,1.88,0.12,5.8E-03,1.9E-05,62.4,6.6,11.5,3.2E-04,0.250
Table_S8,1.0,2,269,0.22,1.56,0.44,4.0E-03,2.6E-04,74.8,8.7,7.7,4.1E-04,0.303
Table_S8,1.0,2,285,0.14,1.72,0.28,4.9E-03,1.1E-04,73.8,8.8,7.8,4.2E-04,0.285
Table_S8,1.0,2,290,0.02,1.96,0.04,6.4E-03,2.1E-06,17.5,0.9,34.0,1.0E-04,0.068
Table_S8,1.0,2,290,0.29,1.42,0.58,3.3E-03,4.5E-04,72.0,7.9,6.1,4.2E-04,0.262
Table_S9,1.0,6,85,0.02,5.88,0.12,5.7E-02,1.9E-05,62.5,9.5,18.6,1.1E-04,0.368
Table_S9,1.0,6,80,0.29,4.26,1.74,3.0E-02,4.1E-03,59.0,12.7,8.9,9.5E-05,0.338
Table_S9,1.0,6,85,0.16,5.04,0.96,4.2E-02,1.2E-03,64.6,13.2,12.0,1.1E-04,0.376
Table_S9,1.0,6,101,0.08,5.52,0.48,5.0E-02,3.1E-04,77.4,17.1,8.0,1.6E-04,0.431
Table_S9,1.0,6,116,0.24,4.56,1.44,3.4E-02,2.8E-03,64.3,14.0,5.8,1.5E-04,0.330
Table_S9,1.0,6,131,0.04,5.76,0.24,5.5E-02,7.7E-05,73.3,15.6,8.3,1.9E-04,0.377
Table_S9,1.0,6,147,0.20,4.80,1.20,3.8E-02,1.9E-03,64.4,12.7,9.5,1.9E-04,0.307
Table_S9,1.0,6,162,0.12,5.28,0.72,4.6E-02,6.9E-04,69.8,13.4,9.8,2.3E-04,0.333
Table_S9,1.0,6,177,0.28,4.32,1.68,3.1E-02,3.8E-03,63.2,12.4,8.7,2.3E-04,0.278
Table_S9,1.0,6,193,0.02,5.88,0.12,5.7E-02,1.9E-05,38.6,4.4,39.9,1.5E-04,0.172
Table_S9,1.0,6,208,0.18,4.92,1.08,4.0E-02,1.6E-03,69.7,13.2,6.4,2.9E-04,0.301
Table_S9,1.0,6,223,0.10,5.40,0.60,4.8E-02,4.8E-04,73.5,13.6,8.9,3.3E-04,0.323
Table_S9,1.0,6,239,0.26,4.44,1.56,3.3E-02,3.3E-03,68.1,11.6,8.5,3.3E-04,0.281
Table_S9,1.0,6,254,0.06,5.64,0.36,5.3E-02,1.7E-04,56.0,9.7,11.4,2.9E-04,0.227
Table_S9,1.0,6,269,0.22,4.68,1.32,3.6E-02,2.3E-03,64.4,9.7,11.0,3.5E-04,0.249
Table_S9,1.0,6,285,0.14,5.16,0.84,4.4E-02,9.5E-04,68.2,9.8,11.5,3.9E-04,0.269
Table_S9,1.0,6,290,0.02,5.88,0.12,5.7E-02,1.9E-05,31.0,3.6,26.7,1.8E-04,0.121
Table_S9,1.0,6,290,0.29,4.26,1.74,3.0E-02,4.1E-03,60.1,7.6,16.3,3.5E-04,0.239
Table_S10,1.0,10,85,0.02,9.8,0.2,1.6E-01,5.4E-05,0.1,0.1,1.0,2.2E-07,0.001
Table_S10,1.0,10,80,0.29,7.1,2.9,8.3E-02,1.1E-02,52.7,11.7,10.9,8.5E-05,0.291
Table_S10,1.0,10,85,0.16,8.4,1.6,1.2E-01,3.4E-03,71.6,15.1,8.9,1.2E-04,0.395
Table_S10,1.0,10,101,0.08,9.2,0.8,1.4E-01,8.6E-04,79.9,17.6,8.5,1.6E-04,0.444
Table_S10,1.0,10,116,0.24,7.6,2.4,9.6E-02,7.7E-03,60.9,14.5,7.4,1.4E-04,0.314
Table_S10,1.0,10,131,0.04,9.6,0.4,1.5E-01,2.1E-04,73.9,17.5,6.9,2.0E-04,0.391
Table_S10,1.0,10,147,0.20,8.0,2.0,1.1E-01,5.4E-03,60.2,13.5,8.4,1.8E-04,0.292
Table_S10,1.0,10,162,0.12,8.8,1.2,1.3E-01,1.9E-03,76.7,14.8,8.0,2.5E-04,0.368
Table_S10,1.0,10,177,0.28,7.2,2.8,8.6E-02,1.1E-02,60.1,10.7,11.8,2.2E-04,0.274
Table_S10,1.0,10,193,0.02,9.8,0.2,1.6E-01,5.4E-05,50.6,6.5,27.2,2.0E-04,0.236
Table_S10,1.0,10,208,0.18,8.2,1.8,1.1E-01,4.3E-03,64.9,11.2,11.5,2.7E-04,0.288
Table_S10,1.0,10,223,0.10,9.0,1.0,1.3E-01,1.3E-03,70.6,11.9,12.8,3.2E-04,0.312
Table_S10,1.0,10,239,0.26,7.4,2.6,9.1E-02,9.1E-03,58.5,9.8,14.0,2.8E-04,0.223
Table_S10,1.0,10,254,0.06,9.4,0.6,1.5E-01,4.8E-04,69.3,12.1,15.6,3.6E-04,0.289
Table_S10,1.0,10,269,0.22,7.8,2.2,1.0E-01,6.5E-03,61.9,9.7,12.4,3.4E-04,0.231
Table_S10,1.0,10,285,0.14,8.6,1.4,1.2E-01,2.6E-03,67.6,10.5,11.4,3.9E-04,0.270
Table_S10,1.0,10,290,0.02,9.8,0.2,1.6E-01,5.4E-05,42.6,5.5,25.1,2.5E-04,0.171
Table_S10,1.0,10,290,0.29,7.1,2.9,8.3E-02,1.1E-02,61.8,9.6,10.9,3.6E-04,0.236
