row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_HER_pred,FE_TCH_pred,V_cathode_pred,converged
141,extended,1.00,6.0,269,0.2200,0.0360,2.3000e-03,64.40,11.00,9.70,69.63,3.90,19.19,7.29,-1.9302,1
142,extended,1.00,6.0,285,0.1400,0.0440,9.5000e-04,68.20,11.50,9.80,66.08,2.63,26.13,5.16,-1.9545,1
144,extended,1.00,6.0,290,0.2900,0.0300,4.1000e-03,60.10,16.30,7.60,69.96,3.92,18.80,7.32,-1.9329,1
146,extended,1.00,10.0,80,0.2900,0.0830,1.1000e-02,52.70,10.90,11.70,63.64,10.94,8.10,17.32,-1.7970,1
147,extended,1.00,10.0,85,0.1600,0.1200,3.4000e-03,71.60,8.90,15.10,64.26,10.53,8.41,16.80,-1.8037,1
148,extended,1.00,10.0,101,0.0800,0.1400,8.6000e-04,79.90,8.50,17.60,66.53,8.77,10.27,14.44,-1.8282,1
149,extended,1.00,10.0,116,0.2400,0.0960,7.7000e-03,60.90,7.40,14.50,65.51,10.04,8.28,16.18,-1.8225,1
150,extended,1.00,10.0,131,0.0400,0.1500,2.1000e-04,73.90,6.90,17.50,59.68,2.22,33.73,4.38,-1.9233,1
151,extended,1.00,10.0,147,0.2000,0.1100,5.4000e-03,60.20,8.40,13.50,67.11,9.07,8.91,14.90,-1.8425,1
152,extended,1.00,10.0,162,0.1200,0.1300,1.9000e-03,76.70,8.00,14.80,68.27,8.13,10.00,13.61,-1.8565,1
153,extended,1.00,10.0,177,0.2800,0.0860,1.1000e-02,60.10,11.80,10.70,67.96,8.67,9.00,14.37,-1.8547,1
155,extended,1.00,10.0,208,0.1800,0.1100,4.3000e-03,64.90,11.50,11.20,69.71,7.07,11.09,12.12,-1.8790,1
156,extended,1.00,10.0,223,0.1000,0.1300,1.3000e-03,70.60,12.80,11.90,70.35,5.73,13.77,10.14,-1.8979,1
157,extended,1.00,10.0,239,0.2600,0.0910,9.1000e-03,58.50,14.00,9.80,70.28,6.75,11.30,11.67,-1.8885,1
158,extended,1.00,10.0,254,0.0600,0.1500,4.8000e-04,69.30,15.60,12.10,54.04,1.25,42.05,2.65,-1.9800,1
159,extended,1.00,10.0,269,0.2200,0.1000,6.5000e-03,61.90,12.40,9.70,70.93,5.41,13.98,9.67,-1.9101,1
160,extended,1.00,10.0,285,0.1400,0.1200,2.6000e-03,67.60,11.40,10.50,70.02,3.99,18.55,7.44,-1.9327,1
162,extended,1.00,10.0,290,0.2900,0.0830,1.1000e-02,61.80,10.90,9.60,71.18,5.44,13.66,9.72,-1.9128,1
2,holdout,0.25,2.0,80,0.2900,0.0130,1.8000e-03,43.90,2.00,9.70,63.03,11.42,7.61,17.94,-1.7934,1
3,holdout,0.25,2.0,85,0.1600,0.0190,5.5000e-04,46.40,3.10,10.00,63.51,11.14,7.76,17.59,-1.7987,1
4,holdout,0.25,2.0,101,0.0800,0.0220,1.4000e-04,45.80,5.60,9.90,65.47,9.81,8.86,15.86,-1.8188,1
5,holdout,0.25,2.0,116,0.2400,0.0150,1.2000e-03,47.50,2.30,11.20,64.52,10.82,7.44,17.22,-1.8160,1
6,holdout,0.25,2.0,131,0.0400,0.0240,3.4000e-05,6.00,6.30,0.80,66.09,3.71,23.28,6.92,-1.8993,1
7,holdout,0.25,2.0,147,0.2000,0.0170,8.6000e-04,54.10,1.60,12.90,65.78,10.20,7.60,16.42,-1.8327,1
8,holdout,0.25,2.0,162,0.1200,0.0200,3.1000e-04,49.90,6.00,12.20,66.73,9.59,8.06,15.62,-1.8430,1
9,holdout,0.25,2.0,177,0.2800,0.0140,1.7000e-03,55.00,1.50,13.60,66.46,9.95,7.48,16.11,-1.8434,1
11,holdout,0.25,2.0,208,0.1800,0.0180,6.9000e-04,43.40,9.50,9.60,68.03,8.93,8.30,14.75,-1.8607,1
12,holdout,0.25,2.0,223,0.1000,0.0210,2.1000e-04,23.40,4.90,4.30,69.10,8.06,9.29,13.54,-1.8729,1
13,holdout,0.25,2.0,239,0.2600,0.0140,1.4000e-03,66.30,1.70,15.00,68.54,8.73,8.23,14.49,-1.8687,1
14,holdout,0.25,2.0,254,0.0600,0.0230,7.7000e-05,0.00,3.60,0.00,66.02,2.74,25.89,5.35,-1.9489,1
15,holdout,0.25,2.0,269,0.2200,0.0160,1.0000e-03,51.70,3.60,10.20,69.72,7.86,9.12,13.29,-1.8831,1
16,holdout,0.25,2.0,285,0.1400,0.0200,4.2000e-04,31.50,7.10,5.70,70.71,6.82,10.68,11.79,-1.8974,1
18,holdout,0.25,2.0,290,0.2900,0.0130,1.8000e-03,68.80,2.30,13.00,69.87,7.89,8.90,13.34,-1.8859,1
20,holdout,0.25,6.0,80,0.2900,0.1200,1.6000e-02,41.80,22.60,6.70,62.56,11.77,7.27,18.39,-1.7907,1
21,holdout,0.25,6.0,85,0.1600,0.1700,4.9000e-03,70.30,3.70,14.00,62.92,11.59,7.32,18.17,-1.7952,1
22,holdout,0.25,6.0,101,0.0800,0.2000,1.2000e-03,64.30,16.70,10.70,64.58,10.56,8.00,16.86,-1.8124,1
23,holdout,0.25,6.0,116,0.2400,0.1400,1.1000e-02,58.20,2.80,12.60,63.74,11.39,6.90,17.96,-1.8114,1
24,holdout,0.25,6.0,131,0.0400,0.2200,3.1000e-04,22.60,19.30,3.20,68.28,5.18,17.30,9.24,-1.8801,1
25,holdout,0.25,6.0,147,0.2000,0.1500,7.7000e-03,58.50,6.10,11.40,64.71,11.00,6.81,17.48,-1.8261,1
26,holdout,0.25,6.0,162,0.1200,0.1800,2.8000e-03,52.60,22.40,7.50,65.41,10.61,6.99,16.99,-1.8341,1
27,holdout,0.25,6.0,177,0.2800,0.1200,1.5000e-02,55.50,7.10,10.20,65.24,10.85,6.61,17.30,-1.8358,1
29,holdout,0.25,6.0,208,0.1800,0.1600,6.2000e-03,60.20,6.70,10.80,66.41,10.21,6.90,16.49,-1.8492,1
30,holdout,0.25,6.0,223,0.1000,0.1900,1.9000e-03,40.60,32.50,5.70,67.25,9.68,7.30,15.78,-1.8576,1
31,holdout,0.25,6.0,239,0.2600,0.1300,1.3000e-02,61.10,4.50,11.90,66.81,10.10,6.74,16.35,-1.8565,1
32,holdout,0.25,6.0,254,0.0600,0.2100,6.9000e-04,0.10,6.30,0.80,70.66,5.15,14.93,9.26,-1.9133,1
33,holdout,0.25,6.0,269,0.2200,0.1400,9.3000e-03,59.40,7.30,10.80,67.73,9.57,7.04,15.66,-1.8670,1
34,holdout,0.25,6.0,285,0.1400,0.1800,3.8000e-03,47.60,20.70,6.80,68.65,8.94,7.60,14.80,-1.8760,1
36,holdout,0.25,6.0,290,0.2900,0.1200,1.6000e-02,62.00,5.70,11.40,67.84,9.59,6.87,15.69,-1.8700,1
38,holdout,0.25,10.0,80,0.2900,0.3300,4.5000e-02,45.80,20.80,9.10,62.40,11.89,7.16,18.55,-1.7898,1
39,holdout,0.25,10.0,85,0.1600,0.4700,1.4000e-02,33.40,40.50,0.20,62.71,11.74,7.18,18.37,-1.7940,1
40,holdout,0.25,10.0,101,0.0800,0.5600,3.4000e-03,50.20,29.10,6.30,64.26,10.82,7.73,17.19,-1.8103,1
41,holdout,0.25,10.0,116,0.2400,0.3800,3.1000e-02,40.40,22.80,7.30,63.47,11.59,6.73,18.21,-1.8099,1
42,holdout,0.25,10.0,131,0.0400,0.6100,8.6000e-04,20.90,13.50,0.10,68.54,5.71,15.71,10.05,-1.8739,1
43,holdout,0.25,10.0,147,0.2000,0.4200,2.1000e-02,25.80,29.90,4.30,64.33,11.27,6.57,17.83,-1.8239,1
44,holdout,0.25,10.0,162,0.1200,0.5100,7.7000e-03,36.50,24.60,5.50,64.94,10.96,6.67,17.44,-1.8312,1
45,holdout,0.25,10.0,177,0.2800,0.3400,4.2000e-02,38.00,19.80,8.50,64.81,11.15,6.34,17.70,-1.8334,1
47,holdout,0.25,10.0,208,0.1800,0.4400,1.7000e-02,23.20,28.70,3.80,65.82,10.63,6.50,17.05,-1.8456,1
48,holdout,0.25,10.0,223,0.1000,0.5400,5.4000e-03,28.80,18.40,5.00,66.54,10.20,6.77,16.48,-1.8529,1
49,holdout,0.25,10.0,239,0.2600,0.3600,3.6000e-02,34.90,23.40,7.00,66.18,10.54,6.33,16.94,-1.8527,1
50,holdout,0.25,10.0,254,0.0600,0.5800,1.9000e-03,20.20,19.70,3.80,70.71,6.12,12.44,10.73,-1.9015,1
51,holdout,0.25,10.0,269,0.2200,0.4000,2.6000e-02,21.90,25.90,4.30,66.98,10.12,6.50,16.40,-1.8621,1
52,holdout,0.25,10.0,285,0.1400,0.4900,1.1000e-02,19.70,23.40,4.00,67.77,9.62,6.88,15.73,-1.8697,1
54,holdout,0.25,10.0,290,0.2900,0.3300,4.5000e-02,45.40,14.20,9.30,67.08,10.14,6.35,16.43,-1.8652,1
