table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp,FE_HER_obs,FE_HER_model,FE_HER_resid_pp,FE_TCH_obs,FE_TCH_model,FE_TCH_resid_pp,V_cathode,j_total_model,note
Table_S9,1.00,6,85,0.1600,64.60,69.81,5.21,12.00,6.24,-5.76,10.20,10.27,0.07,13.20,13.68,0.48,-1.8327,85.00,continuation (30 steps)
Table_S9,1.00,6,101,0.0800,77.40,68.59,-8.81,8.00,6.58,-1.42,0.00,11.39,11.39,17.10,13.44,-3.66,-1.8538,101.00,continuation (30 steps)
Table_S9,1.00,6,116,0.2400,64.30,70.63,6.33,5.80,6.16,0.36,15.90,9.36,-6.54,14.00,13.85,-0.15,-1.8487,116.00,continuation (31 steps)
Table_S9,1.00,6,131,0.0400,73.30,46.18,-27.12,8.30,9.22,0.92,2.80,35.56,32.76,15.60,9.05,-6.55,-1.9604,131.00,continuation (31 steps)
Table_S9,1.00,6,147,0.2000,64.40,70.51,6.11,9.50,6.27,-3.23,13.40,9.39,-4.01,12.70,13.82,1.12,-1.8666,147.00,continuation (32 steps)
Table_S9,1.00,6,162,0.1200,69.80,69.60,-0.20,9.80,6.54,-3.26,7.00,10.22,3.22,13.40,13.64,0.24,-1.8805,162.00,continuation (32 steps)
Table_S9,1.00,6,177,0.2800,63.20,70.75,7.55,8.70,6.28,-2.42,15.70,9.10,-6.60,12.40,13.87,1.47,-1.8775,177.00,continuation (32 steps)
Table_S9,1.00,6,208,0.1800,69.70,68.73,-0.97,6.40,6.84,0.44,10.70,10.96,0.26,13.20,13.47,0.27,-1.9040,208.00,continuation (33 steps)
Table_S9,1.00,6,223,0.1000,73.50,65.27,-8.23,8.90,7.60,-1.30,4.00,14.33,10.33,13.60,12.79,-0.81,-1.9300,223.00,continuation (33 steps)
Table_S9,1.00,6,239,0.2600,68.10,68.58,0.48,8.50,6.93,-1.57,11.80,11.04,-0.76,11.60,13.44,1.84,-1.9142,239.00,continuation (33 steps)
Table_S9,1.00,6,254,0.0600,56.00,36.30,-19.70,11.40,9.63,-1.77,22.90,46.96,24.06,9.70,7.12,-2.58,-2.0306,254.02,continuation (34 steps)
Table_S9,1.00,6,269,0.2200,64.40,64.82,0.42,11.00,7.77,-3.23,14.90,14.70,-0.20,9.70,12.71,3.01,-1.9449,269.01,continuation (34 steps)
Table_S9,1.00,6,285,0.1400,68.20,57.89,-10.31,11.50,8.86,-2.64,10.50,21.91,11.41,9.80,11.35,1.55,-1.9800,285.01,continuation (34 steps)
Table_S9,1.00,6,290,0.2900,60.10,65.23,5.13,16.30,7.73,-8.57,16.00,14.26,-1.74,7.60,12.79,5.19,-1.9473,290.01,continuation (34 steps)
Table_S10,1.00,10,80,0.2900,52.70,70.20,17.50,10.90,6.13,-4.77,24.70,9.91,-14.79,11.70,13.76,2.06,-1.8254,80.00,continuation (30 steps)
Table_S10,1.00,10,85,0.1600,71.60,70.15,-1.45,8.90,6.16,-2.74,4.40,9.94,5.54,15.10,13.75,-1.35,-1.8304,85.00,continuation (30 steps)
Table_S10,1.00,10,101,0.0800,79.90,69.36,-10.54,8.50,6.41,-2.09,0.00,10.64,10.64,17.60,13.59,-4.01,-1.8489,101.00,continuation (30 steps)
Table_S10,1.00,10,116,0.2400,60.90,71.08,10.18,7.40,6.04,-1.36,17.20,8.94,-8.26,14.50,13.93,-0.57,-1.8455,116.00,continuation (31 steps)
Table_S10,1.00,10,131,0.0400,73.90,52.99,-20.91,6.90,8.87,1.97,1.70,27.75,26.05,17.50,10.39,-7.11,-1.9418,131.00,continuation (31 steps)
Table_S10,1.00,10,147,0.2000,60.20,71.24,11.04,8.40,6.09,-2.31,17.90,8.71,-9.19,13.50,13.96,0.46,-1.8612,147.00,continuation (32 steps)
Table_S10,1.00,10,162,0.1200,76.70,70.76,-5.94,8.00,6.25,-1.75,0.50,9.12,8.62,14.80,13.87,-0.93,-1.8722,162.00,continuation (32 steps)
Table_S10,1.00,10,177,0.2800,60.10,71.62,11.52,11.80,6.05,-5.75,17.40,8.29,-9.11,10.70,14.04,3.34,-1.8710,177.00,continuation (32 steps)
Table_S10,1.00,10,208,0.1800,64.90,70.62,5.72,11.50,6.38,-5.12,12.40,9.17,-3.23,11.20,13.84,2.64,-1.8909,208.00,continuation (33 steps)
Table_S10,1.00,10,223,0.1000,70.60,68.95,-1.65,12.80,6.82,-5.98,4.70,10.72,6.02,11.90,13.51,1.61,-1.9083,223.00,continuation (33 steps)
Table_S10,1.00,10,239,0.2600,58.50,70.77,12.27,14.00,6.39,-7.61,17.70,8.97,-8.73,9.80,13.87,4.07,-1.8990,239.00,continuation (33 steps)
Table_S10,1.00,10,254,0.0600,69.30,43.45,-25.85,15.60,9.71,-5.89,3.00,38.33,35.33,12.10,8.52,-3.58,-2.0157,254.01,continuation (34 steps)
Table_S10,1.00,10,269,0.2200,61.90,69.14,7.24,12.40,6.85,-5.55,16.00,10.46,-5.54,9.70,13.55,3.85,-1.9196,269.00,continuation (34 steps)
Table_S10,1.00,10,285,0.1400,67.60,65.45,-2.15,11.40,7.68,-3.72,10.50,14.04,3.54,10.50,12.83,2.33,-1.9467,285.01,continuation (34 steps)
Table_S10,1.00,10,290,0.2900,61.80,69.50,7.70,10.90,6.79,-4.11,17.70,10.08,-7.62,9.60,13.62,4.02,-1.9218,290.00,continuation (34 steps)
