x_m,c_H,c_OH,c_H2PO4,c_HPO4,c_PO4,c_AN,c_ADPN,c_PN,c_TCH,phi_l
1.38192580e-05,9.39923211e-11,1.06391670e+02,1.28890648e-04,8.63912149e+01,4.13608753e+02,7.59517495e+02,1.00981346e-03,1.00875457e-03,1.00002930e-03,-1.56703489e-09
1.42718363e-05,9.39923225e-11,1.06391668e+02,1.28890651e-04,8.63912158e+01,4.13608751e+02,7.59517496e+02,1.00981346e-03,1.00002930e-03,1.00981346e-03,-1.54719341e-09
1.47350643e-05,9.39923240e-11,1.06391667e+02,1.28890654e-04,8.63912167e+01,4.13608749e+02,7.59517496e+02,1.00002930e-03,1.00853441e-03,1.00981346e-03,-1.52673701e-09
1.52091924e-05,9.39923255e-11,1.06391665e+02,1.28890658e-04,8.63912176e+01,4.13608746e+02,7.59517496e+02,1.00981346e-03,1.00842019e-03,1.00981346e-03,-1.50578318e-09
1.56944773e-05,9.39923270e-11,1.06391663e+02,1.28890661e-04,8.63912185e+01,4.13608744e+02,7.59517497e+02,1.00981346e-03,1.00830311e-03,1.00981346e-03,-1.48445168e-09
1.61911814e-05,9.39923286e-11,1.06391661e+02,1.28890665e-04,8.63912195e+01,4.13608742e+02,7.59517497e+02,1.00981346e-03,1.00818312e-03,1.00981346e-03,-1.46245591e-09
1.66995735e-05,9.39923302e-11,1.06391660e+02,1.28890669e-04,8.63912205e+01,4.13608739e+02,7.59517498e+02,1.00981346e-03,1.00806013e-03,1.00981346e-03,-1.44028839e-09
1.72199285e-05,9.39923319e-11,1.06391658e+02,1.28890672e-04,8.63912215e+01,4.13608737e+02,7.59517498e+02,1.00981346e-03,1.00793408e-03,1.00981346e-03,-1.41716519e-09
1.77525281e-05,9.39923336e-11,1.06391656e+02,1.28890676e-04,8.63912226e+01,4.13608735e+02,7.59517499e+02,1.00981346e-03,1.00780490e-03,1.00981346e-03,-1.39366978e-09
1.82976602e-05,9.39923353e-11,1.06391654e+02,1.28890680e-04,8.63912236e+01,4.13608732e+02,7.59517499e+02,1.00974552e-03,1.00767251e-03,1.00002930e-03,-1.36970480e-09
1.88556199e-05,9.39923371e-11,1.06391652e+02,1.28890684e-04,8.63912247e+01,4.13608729e+02,7.59517500e+02,1.00957481e-03,1.00002930e-03,1.00981346e-03,-1.34513565e-09
1.94267089e-05,9.39923389e-11,1.06391650e+02,1.28890689e-04,8.63912258e+01,4.13608727e+02,7.59517500e+02,1.00002930e-03,1.00739779e-03,1.00981346e-03,-1.31982825e-09
2.00112363e-05,9.39923408e-11,1.06391648e+02,1.28890693e-04,8.63912270e+01,4.13608724e+02,7.59517501e+02,1.00922024e-03,1.00725532e-03,1.00981346e-03,-1.29412591e-09
2.06095181e-05,9.39923427e-11,1.06391645e+02,1.28890697e-04,8.63912281e+01,4.13608721e+02,7.59517501e+02,1.00903617e-03,1.00710932e-03,1.00981346e-03,-1.26780677e-09
2.12218782e-05,9.39923446e-11,1.06391643e+02,1.28890702e-04,8.63912293e+01,4.13608718e+02,7.59517502e+02,1.00884743e-03,1.00695971e-03,1.00981346e-03,-1.24080767e-09
2.18486477e-05,9.39923466e-11,1.06391641e+02,1.28890706e-04,8.63912305e+01,4.13608715e+02,7.59517502e+02,1.00865392e-03,1.00680643e-03,1.00981346e-03,-1.21316115e-09
2.24901657e-05,9.39923486e-11,1.06391639e+02,1.28890711e-04,8.63912318e+01,4.13608712e+02,7.59517503e+02,1.00845551e-03,1.00664936e-03,1.00981346e-03,-1.18475209e-09
2.31467794e-05,9.39923507e-11,1.06391636e+02,1.28890716e-04,8.63912331e+01,4.13608709e+02,7.59517504e+02,1.00825211e-03,1.00648844e-03,1.00981346e-03,-1.15604390e-09
2.38188438e-05,9.39923529e-11,1.06391634e+02,1.28890720e-04,8.63912344e+01,4.13608706e+02,7.59517504e+02,1.00804360e-03,1.00632356e-03,1.00002930e-03,-1.12625202e-09
2.45067225e-05,9.39923551e-11,1.06391631e+02,1.28890725e-04,8.63912357e+01,4.13608703e+02,7.59517505e+02,1.00782985e-03,1.00002930e-03,1.00981346e-03,-1.09601202e-09
2.52107878e-05,9.39923573e-11,1.06391629e+02,1.28890731e-04,8.63912371e+01,4.13608700e+02,7.59517505e+02,1.00002930e-03,1.00598160e-03,1.00981346e-03,-1.06498840e-09
2.59314204e-05,9.39923596e-11,1.06391626e+02,1.28890736e-04,8.63912385e+01,4.13608696e+02,7.59517506e+02,1.00738617e-03,1.00580432e-03,1.00981346e-03,-1.03320003e-09
2.66690103e-05,9.39923619e-11,1.06391624e+02,1.28890741e-04,8.63912399e+01,4.13608693e+02,7.59517507e+02,1.00715600e-03,1.00562271e-03,1.00981346e-03,-1.00059996e-09
2.74239564e-05,9.39923643e-11,1.06391621e+02,1.28890747e-04,8.63912414e+01,4.13608689e+02,7.59517507e+02,1.00692011e-03,1.00543669e-03,1.00981346e-03,-9.67242377e-10
2.81966671e-05,9.39923668e-11,1.06391618e+02,1.28890752e-04,8.63912429e+01,4.13608686e+02,7.59517508e+02,1.00667836e-03,1.00524613e-03,1.00981346e-03,-9.33225359e-10
2.89875605e-05,9.39923693e-11,1.06391615e+02,1.28890758e-04,8.63912445e+01,4.13608682e+02,7.59517509e+02,1.00643063e-03,1.00505095e-03,1.00981346e-03,-8.98508030e-10
2.97970645e-05,9.39923719e-11,1.06391612e+02,1.28890764e-04,8.63912460e+01,4.13608678e+02,7.59517510e+02,1.00617679e-03,1.00485104e-03,1.00981346e-03,-8.62780366e-10
3.06256169e-05,9.39923745e-11,1.06391609e+02,1.28890770e-04,8.63912476e+01,4.13608674e+02,7.59517510e+02,1.00591670e-03,1.00464628e-03,1.00002930e-03,-8.26193413e-10
3.14736660e-05,9.39923772e-11,1.06391606e+02,1.28890776e-04,8.63912493e+01,4.13608670e+02,7.59517511e+02,1.00565022e-03,1.00002930e-03,1.00981346e-03,-7.88799680e-10
3.23416705e-05,9.39923800e-11,1.06391603e+02,1.28890782e-04,8.63912510e+01,4.13608666e+02,7.59517512e+02,1.00002930e-03,1.00422183e-03,1.00981346e-03,-7.50554979e-10
3.32301001e-05,9.39923828e-11,1.06391600e+02,1.28890789e-04,8.63912527e+01,4.13608662e+02,7.59517513e+02,1.00509755e-03,1.00400191e-03,1.00981346e-03,-7.11462355e-10
3.41394354e-05,9.39923857e-11,1.06391597e+02,1.28890795e-04,8.63912545e+01,4.13608658e+02,7.59517514e+02,1.00481108e-03,1.00377670e-03,1.00981346e-03,-6.71298447e-10
3.50701682e-05,9.39923887e-11,1.06391593e+02,1.28890802e-04,8.63912563e+01,4.13608654e+02,7.59517514e+02,1.00451764e-03,1.00354609e-03,1.00981346e-03,-6.30244506e-10
3.60228021e-05,9.39923917e-11,1.06391590e+02,1.28890809e-04,8.63912582e+01,4.13608649e+02,7.59517515e+02,1.00421710e-03,1.00330996e-03,1.00977458e-03,-5.88281253e-10
3.69978525e-05,9.39923948e-11,1.06391586e+02,1.28890816e-04,8.63912601e+01,4.13608645e+02,7.59517516e+02,1.00390931e-03,1.00306820e-03,1.00906212e-03,-5.45196859e-10
3.79958468e-05,9.39923980e-11,1.06391583e+02,1.28890824e-04,8.63912620e+01,4.13608640e+02,7.59517517e+02,1.00359412e-03,1.00282067e-03,1.00833212e-03,-5.01228275e-10
3.90173249e-05,9.39924012e-11,1.06391579e+02,1.28890831e-04,8.63912640e+01,4.13608635e+02,7.59517518e+02,1.00327136e-03,1.00256726e-03,1.00002930e-03,-4.56198345e-10
4.00628395e-05,9.39924046e-11,1.06391575e+02,1.28890839e-04,8.63912660e+01,4.13608630e+02,7.59517519e+02,1.00294089e-03,1.00002930e-03,1.00681825e-03,-4.10085032e-10
4.11329561e-05,9.39924080e-11,1.06391572e+02,1.28890846e-04,8.63912681e+01,4.13608625e+02,7.59517520e+02,1.00002930e-03,1.00204226e-03,1.00603377e-03,-3.62860481e-10
4.22282536e-05,9.39924114e-11,1.06391568e+02,1.28890854e-04,8.63912703e+01,4.13608620e+02,7.59517521e+02,1.00225617e-03,1.00177041e-03,1.00523052e-03,-3.14598664e-10
4.33493246e-05,9.39924150e-11,1.06391564e+02,1.28890862e-04,8.63912724e+01,4.13608615e+02,7.59517522e+02,1.00190159e-03,1.00149216e-03,1.00440819e-03,-2.65175535e-10
4.44967755e-05,9.39924187e-11,1.06391559e+02,1.28890871e-04,8.63912747e+01,4.13608610e+02,7.59517523e+02,1.00153866e-03,1.00120737e-03,1.00356649e-03,-2.14589070e-10
4.56712272e-05,9.39924224e-11,1.06391555e+02,1.28890879e-04,8.63912770e+01,4.13608604e+02,7.59517524e+02,1.00116720e-03,1.00091590e-03,1.00270510e-03,-1.62784284e-10
4.68733148e-05,9.39924262e-11,1.06391551e+02,1.28890888e-04,8.63912793e+01,4.13608599e+02,7.59517525e+02,1.00078705e-03,1.00061761e-03,1.00182375e-03,-1.09789739e-10
4.81036889e-05,9.39924301e-11,1.06391546e+02,1.28890897e-04,8.63912817e+01,4.13608593e+02,7.59517526e+02,1.00039804e-03,1.00031235e-03,1.00092215e-03,-5.55283770e-11
4.93630148e-05,9.39924341e-11,1.06391542e+02,1.28890906e-04,8.63912842e+01,4.13608587e+02,7.59517527e+02,1.00000000e-03,1.00000000e-03,1.00000000e-03,0.00000000e+00
