row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_HER_pred,FE_TCH_pred,V_cathode_pred,converged
72,extended,0.50,2.0,290,0.2900,0.0067,9.0000e-04,73.10,4.50,10.50,70.96,4.50,21.26,3.28,-1.9413,1
74,extended,0.50,6.0,80,0.2900,0.0600,8.1000e-03,60.40,5.50,12.10,60.65,7.46,16.51,15.38,-1.8443,1
75,extended,0.50,6.0,85,0.1600,0.0840,2.5000e-03,61.00,9.50,12.80,61.39,7.35,16.67,14.59,-1.8490,1
76,extended,0.50,6.0,101,0.0800,0.1000,6.2000e-04,65.10,10.50,13.90,63.99,6.83,17.94,11.23,-1.8652,1
77,extended,0.50,6.0,116,0.2400,0.0690,5.6000e-03,58.80,7.60,12.70,63.43,7.14,15.90,13.53,-1.8659,1
78,extended,0.50,6.0,131,0.0400,0.1100,1.5000e-04,65.80,8.60,14.60,63.94,3.76,30.41,1.89,-1.9168,1
79,extended,0.50,6.0,147,0.2000,0.0760,3.9000e-03,58.40,8.50,12.50,65.45,6.84,15.85,11.86,-1.8810,1
80,extended,0.50,6.0,162,0.1200,0.0920,1.4000e-03,63.10,9.90,12.80,66.65,6.59,16.30,10.46,-1.8893,1
81,extended,0.50,6.0,177,0.2800,0.0620,7.6000e-03,62.00,4.60,12.40,66.68,6.69,15.47,11.16,-1.8911,1
83,extended,0.50,6.0,208,0.1800,0.0800,3.1000e-03,60.90,10.50,12.80,68.55,6.25,16.25,8.96,-1.9048,1
84,extended,0.50,6.0,223,0.1000,0.0960,9.6000e-04,65.00,10.20,14.00,69.53,5.89,17.22,7.36,-1.9133,1
85,extended,0.50,6.0,239,0.2600,0.0650,6.5000e-03,66.30,5.20,13.60,69.40,6.13,15.98,8.50,-1.9122,1
86,extended,0.50,6.0,254,0.0600,0.1100,3.5000e-04,62.10,10.10,14.00,65.45,2.99,30.53,1.04,-1.9595,1
87,extended,0.50,6.0,269,0.2200,0.0720,4.7000e-03,65.30,5.90,13.50,70.59,5.74,16.75,6.92,-1.9230,1
88,extended,0.50,6.0,285,0.1400,0.0880,1.9000e-03,69.20,5.90,14.20,71.24,5.28,18.15,5.33,-1.9322,1
90,extended,0.50,6.0,290,0.2900,0.0600,8.1000e-03,63.40,7.70,12.10,70.95,5.72,16.42,6.92,-1.9260,1
92,extended,0.50,10.0,80,0.2900,0.1700,2.3000e-02,68.10,3.40,14.80,60.36,7.51,16.25,15.88,-1.8434,1
93,extended,0.50,10.0,85,0.1600,0.2300,6.9000e-03,65.50,11.70,12.30,61.03,7.42,16.34,15.21,-1.8479,1
94,extended,0.50,10.0,101,0.0800,0.2800,1.7000e-03,74.70,10.70,14.80,63.56,6.97,17.36,12.11,-1.8632,1
95,extended,0.50,10.0,116,0.2400,0.1900,1.5000e-02,58.60,14.10,11.50,62.98,7.24,15.49,14.29,-1.8644,1
96,extended,0.50,10.0,131,0.0400,0.3000,4.3000e-04,53.60,18.20,12.50,65.26,4.19,28.01,2.54,-1.9116,1
97,extended,0.50,10.0,147,0.2000,0.2100,1.1000e-02,47.30,18.90,10.60,64.89,6.98,15.28,12.84,-1.8789,1
98,extended,0.50,10.0,162,0.1200,0.2600,3.9000e-03,56.60,15.60,11.60,66.03,6.78,15.57,11.62,-1.8865,1
99,extended,0.50,10.0,177,0.2800,0.1700,2.1000e-02,61.60,1.90,14.70,66.07,6.85,14.85,12.23,-1.8887,1
101,extended,0.50,10.0,208,0.1800,0.2200,8.7000e-03,48.90,17.70,10.90,67.87,6.50,15.33,10.30,-1.9014,1
102,extended,0.50,10.0,223,0.1000,0.2700,2.7000e-03,50.40,17.70,10.70,68.91,6.22,16.00,8.88,-1.9088,1
103,extended,0.50,10.0,239,0.2600,0.1800,1.8000e-02,65.80,3.50,14.10,68.71,6.39,15.01,9.89,-1.9086,1
104,extended,0.50,10.0,254,0.0600,0.2900,9.6000e-04,47.10,18.90,10.80,68.52,3.75,25.80,1.93,-1.9488,1
105,extended,0.50,10.0,269,0.2200,0.2000,1.3000e-02,49.90,15.90,10.80,69.95,6.09,15.48,8.47,-1.9183,1
106,extended,0.50,10.0,285,0.1400,0.2400,5.3000e-03,49.40,18.80,10.10,70.83,5.75,16.42,7.00,-1.9260,1
108,extended,0.50,10.0,290,0.2900,0.1700,2.3000e-02,63.80,6.20,12.80,70.29,6.07,15.17,8.47,-1.9214,1
110,extended,1.00,2.0,80,0.2900,0.0033,4.5000e-04,61.50,2.20,13.00,62.63,6.95,18.77,11.65,-1.8514,1
111,extended,1.00,2.0,85,0.1600,0.0047,1.4000e-04,70.50,2.60,15.10,63.61,6.67,19.62,10.10,-1.8586,1
112,extended,1.00,2.0,101,0.0800,0.0056,3.4000e-05,74.60,3.30,16.70,65.47,5.44,23.76,5.33,-1.8826,1
