row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_TCH_pred,V_cathode_pred,converged
85,extended,0.5,6.0,239.0,0.26,0.065,0.0065,66.3,5.2,13.6,62.41771795100633,10.012145392405461,12.6581443396162,-1.907736640625,1
86,extended,0.5,6.0,254.0,0.06,0.11,0.00035,62.1,10.1,14.0,45.02288258575712,14.105466109391653,8.962212013792497,-1.9625143749999998,1
87,extended,0.5,6.0,269.0,0.22,0.072,0.0047,65.3,5.9,13.5,61.0303822109248,10.582003467395491,12.314269182443278,-1.920214765625,1
88,extended,0.5,6.0,285.0,0.14,0.088,0.0019,69.2,5.9,14.2,58.93961640503832,11.27233963516576,11.843093712009837,-1.93141671875,1
90,extended,0.5,6.0,290.0,0.29,0.06,0.0081,63.4,7.7,12.1,61.275860481777826,10.598660222905394,12.342046745649865,-1.9234444531250001,1
92,core,0.5,10.0,80.0,0.29,0.17,0.023,68.1,3.4,14.8,64.40304857975366,8.229448639488464,13.498057065849679,-1.83293234375,1
93,core,0.5,10.0,85.0,0.16,0.23,0.0069,65.5,11.7,12.3,64.2154849427416,8.346489894549963,13.432201747170172,-1.8377096875,1
94,core,0.5,10.0,101.0,0.08,0.28,0.0017,74.7,10.7,14.8,62.75339892169644,8.953467675963697,13.036298273984373,-1.854701875,1
95,core,0.5,10.0,116.0,0.24,0.19,0.015,58.6,14.1,11.5,64.62492152955691,8.534896323086716,13.411520318704829,-1.8549753125000001,1
96,core,0.5,10.0,131.0,0.04,0.3,0.00043,53.6,18.2,12.5,48.8052617873034,12.44141885690957,9.92176997562409,-1.9134909374999998,1
97,core,0.5,10.0,147.0,0.2,0.21,0.011,47.3,18.9,10.6,64.43378010560275,8.83877431193567,13.281186612549373,-1.8704440625000003,1
98,core,0.5,10.0,162.0,0.12,0.26,0.0039,56.6,15.6,11.6,63.882224029860275,9.116707783526888,13.121510863054507,-1.8789206250000001,1
99,core,0.5,10.0,177.0,0.28,0.17,0.021,61.6,1.9,14.7,64.58224418346975,8.984509519387444,13.247163207423178,-1.88093703125,1
