row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_HER_pred,FE_TCH_pred,V_cathode_pred,converged
144,extended,1.00,6.0,290,0.2900,0.0300,4.1000e-03,60.10,16.30,7.60,53.25,12.76,23.36,10.63,-1.9472,1
146,extended,1.00,10.0,80,0.2900,0.0830,1.1000e-02,52.70,10.90,11.70,63.57,8.47,14.65,13.31,-1.8361,1
147,extended,1.00,10.0,85,0.1600,0.1200,3.4000e-03,71.60,8.90,15.10,63.13,8.66,15.02,13.18,-1.8419,1
148,extended,1.00,10.0,101,0.0800,0.1400,8.6000e-04,79.90,8.50,17.60,60.64,9.54,17.26,12.56,-1.8624,1
149,extended,1.00,10.0,116,0.2400,0.0960,7.7000e-03,60.90,7.40,14.50,63.21,8.97,14.73,13.09,-1.8604,1
150,extended,1.00,10.0,131,0.0400,0.1500,2.1000e-04,73.90,6.90,17.50,40.77,13.50,37.49,8.24,-1.9303,1
151,extended,1.00,10.0,147,0.2000,0.1100,5.4000e-03,60.20,8.40,13.50,62.32,9.49,15.38,12.81,-1.8785,1
152,extended,1.00,10.0,162,0.1200,0.1300,1.9000e-03,76.70,8.00,14.80,60.98,9.99,16.55,12.47,-1.8898,1
153,extended,1.00,10.0,177,0.2800,0.0860,1.1000e-02,60.10,11.80,10.70,62.16,9.75,15.39,12.71,-1.8900,1
155,extended,1.00,10.0,208,0.1800,0.1100,4.3000e-03,64.90,11.50,11.20,59.73,10.65,17.51,12.12,-1.9091,1
156,extended,1.00,10.0,223,0.1000,0.1300,1.3000e-03,70.60,12.80,11.90,57.15,11.44,19.87,11.54,-1.9221,1
157,extended,1.00,10.0,239,0.2600,0.0910,9.1000e-03,58.50,14.00,9.80,59.50,10.89,17.59,12.02,-1.9177,1
158,extended,1.00,10.0,254,0.0600,0.1500,4.8000e-04,69.30,15.60,12.10,36.87,15.00,40.83,7.30,-1.9780,1
159,extended,1.00,10.0,269,0.2200,0.1000,6.5000e-03,61.90,12.40,9.70,56.98,11.73,19.84,11.44,-1.9332,1
160,extended,1.00,10.0,285,0.1400,0.1200,2.6000e-03,67.60,11.40,10.50,53.43,12.69,23.21,10.67,-1.9474,1
162,extended,1.00,10.0,290,0.2900,0.0830,1.1000e-02,61.80,10.90,9.60,57.26,11.76,19.50,11.48,-1.9362,1
2,holdout,0.25,2.0,80,0.2900,0.0130,1.8000e-03,43.90,2.00,9.70,64.26,8.27,14.00,13.46,-1.8335,1
3,holdout,0.25,2.0,85,0.1600,0.0190,5.5000e-04,46.40,3.10,10.00,64.03,8.40,14.18,13.39,-1.8385,1
4,holdout,0.25,2.0,101,0.0800,0.0220,1.4000e-04,45.80,5.60,9.90,62.40,9.06,15.59,12.96,-1.8561,1
5,holdout,0.25,2.0,116,0.2400,0.0150,1.2000e-03,47.50,2.30,11.20,64.38,8.61,13.65,13.36,-1.8560,1
6,holdout,0.25,2.0,131,0.0400,0.0240,3.4000e-05,6.00,6.30,0.80,47.38,12.67,30.33,9.62,-1.9167,1
7,holdout,0.25,2.0,147,0.2000,0.0170,8.6000e-04,54.10,1.60,12.90,64.08,8.95,13.77,13.20,-1.8718,1
8,holdout,0.25,2.0,162,0.1200,0.0200,3.1000e-04,49.90,6.00,12.20,63.41,9.27,14.31,13.02,-1.8808,1
9,holdout,0.25,2.0,177,0.2800,0.0140,1.7000e-03,55.00,1.50,13.60,64.18,9.11,13.55,13.16,-1.8825,1
11,holdout,0.25,2.0,208,0.1800,0.0180,6.9000e-04,43.40,9.50,9.60,63.01,9.67,14.49,12.84,-1.8975,1
12,holdout,0.25,2.0,223,0.1000,0.0210,2.1000e-04,23.40,4.90,4.30,61.73,10.14,15.59,12.53,-1.9069,1
13,holdout,0.25,2.0,239,0.2600,0.0140,1.4000e-03,66.30,1.70,15.00,63.06,9.81,14.34,12.80,-1.9053,1
14,holdout,0.25,2.0,254,0.0600,0.0230,7.7000e-05,0.00,3.60,0.00,47.25,13.75,29.58,9.42,-1.9576,1
15,holdout,0.25,2.0,269,0.2200,0.0160,1.0000e-03,51.70,3.60,10.20,61.89,10.32,15.29,12.50,-1.9172,1
16,holdout,0.25,2.0,285,0.1400,0.0200,4.2000e-04,31.50,7.10,5.70,60.12,10.93,16.85,12.10,-1.9275,1
18,holdout,0.25,2.0,290,0.2900,0.0130,1.8000e-03,68.80,2.30,13.00,62.14,10.33,15.01,12.53,-1.9203,1
20,holdout,0.25,6.0,80,0.2900,0.1200,1.6000e-02,41.80,22.60,6.70,64.75,8.13,13.55,13.58,-1.8317,1
21,holdout,0.25,6.0,85,0.1600,0.1700,4.9000e-03,70.30,3.70,14.00,64.66,8.21,13.59,13.53,-1.8360,1
22,holdout,0.25,6.0,101,0.0800,0.2000,1.2000e-03,64.30,16.70,10.70,63.57,8.72,14.50,13.22,-1.8515,1
23,holdout,0.25,6.0,116,0.2400,0.1400,1.1000e-02,58.20,2.80,12.60,65.19,8.36,12.92,13.54,-1.8527,1
24,holdout,0.25,6.0,131,0.0400,0.2200,3.1000e-04,22.60,19.30,3.20,52.02,11.86,25.51,10.60,-1.9057,1
25,holdout,0.25,6.0,147,0.2000,0.1500,7.7000e-03,58.50,6.10,11.40,65.24,8.58,12.72,13.46,-1.8671,1
26,holdout,0.25,6.0,162,0.1200,0.1800,2.8000e-03,52.60,22.40,7.50,64.94,8.77,12.93,13.36,-1.8746,1
27,holdout,0.25,6.0,177,0.2800,0.1200,1.5000e-02,55.50,7.10,10.20,65.48,8.68,12.38,13.45,-1.8772,1
29,holdout,0.25,6.0,208,0.1800,0.1600,6.2000e-03,60.20,6.70,10.80,64.98,9.02,12.72,13.28,-1.8896,1
30,holdout,0.25,6.0,223,0.1000,0.1900,1.9000e-03,40.60,32.50,5.70,64.37,9.30,13.21,13.12,-1.8968,1
31,holdout,0.25,6.0,239,0.2600,0.1300,1.3000e-02,61.10,4.50,11.90,65.16,9.10,12.47,13.27,-1.8970,1
32,holdout,0.25,6.0,254,0.0600,0.2100,6.9000e-04,0.10,6.30,0.80,55.19,12.11,21.62,11.08,-1.9377,1
33,holdout,0.25,6.0,269,0.2200,0.1400,9.3000e-03,59.40,7.30,10.80,64.67,9.40,12.82,13.12,-1.9065,1
34,holdout,0.25,6.0,285,0.1400,0.1800,3.8000e-03,47.60,20.70,6.80,63.84,9.74,13.50,12.91,-1.9138,1
